fecha_inicio,categoria_delito,nombre_sec
2025-08-14,Robo de vehículo sin violencia,Sin Sector
2025-08-14,Robo de vehículo sin violencia,Sin Sector
2025-08-12,Robo de vehículo sin violencia,CUITLAHUAC
2025-08-01,Robo de vehículo sin violencia,UNIVERSIDAD
2025-05-27,Robo de vehículo sin violencia,UNIVERSIDAD
2025-05-12,Robo de vehículo sin violencia,UNIVERSIDAD
2025-05-14,Robo de vehículo sin violencia,UNIVERSIDAD
2025-07-15,Robo de vehículo sin violencia,UNIVERSIDAD
2025-06-25,Robo a transeúnte en vía pública con violencia,UNIVERSIDAD
2025-05-22,Robo a transeúnte en vía pública con violencia,UNIVERSIDAD
2025-06-24,Robo de vehículo sin violencia,UNIVERSIDAD
2025-05-05,Robo a transeúnte en vía pública con violencia,UNIVERSIDAD
2025-05-12,Robo de vehículo sin violencia,UNIVERSIDAD
2025-04-30,Robo de vehículo sin violencia,CULHUACAN
2025-08-08,Robo de vehículo sin violencia,UNIVERSIDAD
2025-07-05,Robo de vehículo sin violencia,UNIVERSIDAD
2025-07-15,Robo de vehículo sin violencia,CULHUACAN
2025-07-08,Robo a transeúnte en vía pública con violencia,TOPILEJO
2025-07-14,Robo de vehículo sin violencia,MILPA ALTA
2025-08-12,Robo de vehículo sin violencia,TOPILEJO
2025-05-15,Robo de vehículo sin violencia,PORTALES
2025-08-07,Robo de vehículo sin violencia,Sin Sector
2025-06-22,Robo de vehículo sin violencia,Sin Sector
2025-06-03,Robo a transeúnte en vía pública con violencia,ALAMEDA
2025-05-23,Robo a transeúnte en vía pública con violencia,ALAMEDA
2025-06-09,Robo a negocio con violencia,ALAMEDA
2025-06-24,Robo a negocio con violencia,ALAMEDA
2025-07-12,Robo a transeúnte en vía pública con violencia,ALAMEDA
2025-04-25,Robo a pasajero a bordo del metro con violencia,ALAMEDA
