fecha_inicio,categoria_delito,nombre_sec
2024-02-09,Robo a cuentahabiente saliendo del cajero con violencia,PRADERA
2024-05-17,Robo a pasajero a bordo de microbús con y sin violencia,PRADERA
2025-01-30,Robo a negocio con violencia,ARAGON
2024-06-08,Homicidio doloso,ARAGON
2025-06-09,Robo a negocio con violencia,TEPEYAC
2024-07-25,Robo a casa habitación con violencia,LINDAVISTA
2024-04-20,Robo a casa habitación con violencia,PRADERA
2025-06-06,Homicidio doloso,PRADERA
2025-05-26,Robo a negocio con violencia,PRADERA
2024-11-01,Lesiones dolosas por disparo de arma de fuego,QUIROGA
2024-01-18,Robo a negocio con violencia,QUIROGA
2024-07-10,Robo a pasajero a bordo de microbús con y sin violencia,QUIROGA
2024-06-14,Robo a negocio con violencia,PRADERA
2025-01-31,Robo a repartidor con y sin violencia,ARAGON
2024-01-28,Robo a negocio con violencia,ARAGON
2024-10-08,Robo a negocio con violencia,TLACOTAL
2024-01-18,Robo a negocio con violencia,TLACOTAL
2024-02-07,Robo a negocio con violencia,TLACOTAL
2025-07-06,Robo a repartidor con y sin violencia,TLACOTAL
2024-10-03,Robo a negocio con violencia,TLACOTAL
2024-11-12,Robo a repartidor con y sin violencia,TLACOTAL
2024-11-25,Robo a repartidor con y sin violencia,TLACOTAL
2024-10-05,Robo a negocio con violencia,TLACOTAL
2025-01-10,Robo a negocio con violencia,TLACOTAL
